id,uuid,name,category,equipment,muscles_primary,muscles_secondary,license,description_html
92,1ae6a28d-10e7-4ecf-af4f-905f8193e2c6,Biceps Curls With Dumbbell,Arms,Dumbbell,Biceps,Brachialis,CC-BY-SA 3,"<p>Hold two barbells, the arms are streched, the hands are on your side, the palms face inwards. Bend the arms and bring the weight with a fast movement up. At the same time, rotate your arms by 90 degrees at the very beginning of the movement. At the highest point, rotate a little the weights further outwards. Without a pause, bring them down, slowly.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>"
83,4af6dbd9-8991-484b-9810-68f117c21edf,Bent Over Rowing,Back,Barbell,Lats,Shoulders; Biceps,CC-BY-SA 3,"<ol>
<li>Holding a barbell with a pronated grip (palms facing down), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.</li>
<li>Now, while keeping the torso stationary, breathe out and lift the barbell to you. Keep the elbows close to the body and only use the forearms to hold the weight. At the top contracted position, squeeze the back muscles and hold for a brief pause.</li>
<li>Then inhale and slowly lower the barbell back to the starting position.</li>
<li>Repeat for the recommended amount of repetitions.</li>
</ol>"
112,d551f24d-44fe-4761-9448-edf14d627827,Body-Ups,Arms,none (bodyweight exercise),,,CC-BY-SA 4,"<ol>
<li>Assume a plank position on the ground. You should be supporting your bodyweight on your toes and forearms, keeping your torso straight. Your forearms should be shoulder-width apart. This will be your starting position.</li>
<li>Pressing your palms firmly into the ground, extend through the elbows to raise your body from the ground. Keep your torso rigid as you perform the movement.</li>
<li>Slowly lower your forearms back to the ground by allowing the elbows to flex.</li>
<li>Repeat as needed.</li>
</ol>"
81,94a5c406-7bcd-47f3-9687-bdf92a763932,Bent Over Dumbbell Rows,Back,Bench; Dumbbell,Lats,,CC-BY-SA 4,"<p>With dumbbells in hand, bend at the hip until hands hang just below the knees (similar to straight-legged-deadlift starting position). Keep upper body angle constant while contracting your lats to pull you ellbows back pinching the shoulder blades at the top. Try not to stand up with every rep, check hands go below knees on every rep.</p>"
94,42227131-9b1e-4220-b082-c523f0651057,Biceps Curls With SZ-bar,Arms,SZ-Bar,Biceps,Brachialis,CC-BY-SA 3,"<p>Hold the SZ-bar shoulder-wide, the back is straight, the shoulders slightly back, the arms are streched. Bend the arms, bringing the weight up, with a fast movement. Without pausing, let down the bar with a slow and controlled movement.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>"
82,6f79b381-98a4-40d5-8a45-3bb0558be6fe,Bent-over Lateral Raises,Shoulders,Bench; Dumbbell,,,CC-BY-SA 4,"<p>Sit on bench while holding weights. Bend forward as far as possible, with arms slightly bent at the elbow. Perform a lateral raise while maintaining the bend in your elbow.</p>"
75,28321cf3-70e6-48a4-ade1-d11382180cb3,Benchpress Dumbbells,Chest,Bench; Dumbbell,Chest,Shoulders; Triceps,CC-BY-SA 3,"<p>The movement is very similar to benchpressing with a barbell, however, the weight is brought down to the chest at a lower point.</p>
<p>Hold two dumbbells and lay down on a bench. Hold the weights next to the chest, at the height of your nipples and press them up till the arms are stretched. Let the weight slowly and controlled down.</p>"
91,7b99a081-6b1a-4aa5-b86a-5a935d083a35,Biceps Curls With Barbell,Arms,Barbell,Biceps,Brachialis,CC-BY-SA 3,"<p>Hold the Barbell shoulder-wide, the back is straight, the shoulders slightly back, the arms are streched. Bend the arms, bringing the weight up, with a fast movement. Without pausing, let down the bar with a slow and controlled movement.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>"
73,3717d144-7815-4a97-9a56-956fb889c996,Bench Press,Chest,Barbell; Bench,Chest,Shoulders; Triceps,CC-BY-SA 3,"<p>Lay down on a bench, the bar should be directly above your eyes, the knees are somewhat angled and the feet are firmly on the floor. Concentrate, breath deeply and grab the bar more than shoulder wide. Bring it slowly down till it briefly touches your chest at the height of your nipples. Push the bar up.</p>
<p>If you train with a high weight it is advisable to have a <em>spotter</em> that can help you up if you can't lift the weight on your own.</p>
<p>With the width of the grip you can also control which part of the chest is trained more:</p>
<ul>
<li>wide grip: outer chest muscles</li>
<li>narrow grip: inner chest muscles and triceps</li>
</ul>"
76,3db63138-a047-4a4d-b616-1a0b7dfca105,Bench Press Narrow Grip,Arms,Barbell; Bench,Triceps,Shoulders; Chest,CC-BY-SA 3,"<p>Lay down on a bench, the bar is directly over your eyes, the knees form a slight angle and the feet are firmly on the ground. Hold the bar with a narrow grip (around 20cm.). Lead the weight slowly down till the arms are parallel to the floor (elbow: right angle), press then the bar up. When bringing the bar down, don't let it down on your nipples as with the regular bench pressing, but somewhat lower.</p>"
95,bcb7020c-8678-496d-8f4d-aad0e233a5bd,Biceps Curl With Cable,Arms,,Biceps,,CC-BY-SA 3,"<p>Stand around 30 - 40cm away from the cable, the feet are firmly on the floor. Take the bar and lift the weight with a fast movements. Lower the weight as with the dumbbell curls slowly and controlled.</p>"
803,f8d69dd4-3c35-49c7-8cbe-f0132eca4c52,One Arm Triceps Extensions on Cable,Arms,,,,CC-BY-SA 4,
71,046fce45-69f2-46f7-a5b6-79a25a485af1,Single Leg Extension,Legs,,Quads,,CC-BY-SA 3,
79,01271ea0-088c-4e2b-95ad-876af7127057,Bent High Pulls,Shoulders,Dumbbell,Trapezius,,CC-BY-SA 3,"<p>Bend over slightly while holding two dumbbells.  Pull the dumbbells up to your chest, keeping your elbows as high as you can.</p>"
1004,4b278f57-4505-419a-8b34-172b53eb4adc,Forward shoulder rotation,Back,none (bodyweight exercise),,,CC-BY-SA 4,<p>Starting position:</p><p>Sit or stand with your back straight.</p><p>Steps:</p><ol><li>Place your hands on your shoulders.</li><li>Repeatedly rotate both shoulder joints in a circular motion at a moderate pace.</li></ol>
1005,1a40cc23-4609-4951-9b76-237715ae85ed,Backward shoulder rotation,Back,none (bodyweight exercise),,,CC-BY-SA 4,<p>Starting position:</p><p>Sit or stand with your back straight.</p><p>Steps:</p><ol><li>Place your hands on your shoulders.</li><li>Repeatedly rotate both shoulder joints in a circular motion at a moderate pace.</li></ol>
1006,04e7fd92-e2e5-4212-ad7c-7542e98f7d83,Chin tuck,Back,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Sit or stand with your back straight.</p><p>Steps:</p><ol><li>Use fingers on your chin to slowly tuck your chin in, moving your head back to align it with your spine.</li><li>Hold for 5 seconds.</li><li>Go back to normal head position and repeat.</li></ol>"
1007,336e224a-a7a1-4808-9871-1ad8cfc3fee7,Head turns,Shoulders,none (bodyweight exercise),,,CC-BY-SA 4,"<p>Starting position:</p><p>Sit or stand with your back straight and shoulders down.</p><p>Steps:</p><ol><li>Sit or stand up straight, shoulders dropped.</li><li>Turn your head to the side as far as possible. Stop when you hit a barrier and hold for 5 seconds.</li><li>Return to center position and repeat, changing sides.</li></ol>"
1008,2ecf2e55-c1f3-40ac-b20e-0954f41a2021,Left neck stretch,Shoulders,none (bodyweight exercise),,,CC-BY-SA 4,<p>Starting position:</p><p>Sit or stand with your back straight.</p><p>Steps:</p><ol><li>Tilt your head to the side.</li><li>Take the hand closer to your head and use it to grab your head from the other side.</li><li>Push with your hand against your head and with your head against your hand so that the forces balance out and your head stays still.</li><li>Maintain this tension until the end of the exercise.</li></ol>
1009,7ea504e7-3310-4638-a111-054fabfd4b80,Right neck stretch,Shoulders,none (bodyweight exercise),,,CC-BY-SA 4,<p>Starting position:</p><p>Sit or stand with your back straight.</p><p>Steps:</p><ol><li>Tilt your head to the side.</li><li>Take the hand closer to your head and use it to grab your head from the other side.</li><li>Push with your hand against your head and with your head against your hand so that the forces balance out and your head stays still.</li><li>Maintain this tension until the end of the exercise.</li></ol>
